trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
200,7.301134928258227,986.2361561752047,109.0,2.18,0.31447619047619046,0.02202020202020202
201,0.9867449808979777,136.0946165383193,125.0,2.5,0.3534761904761905,0.025252525252525252
202,7.442116617193015,1023.1469011076485,130.0,2.6,0.3603095238095238,0.026262626262626262
203,1.7123442716334047,273.85974919636624,118.0,2.36,0.3892380952380953,0.02383838383838384
204,1.0961390252355276,162.08931513792646,131.0,2.62,0.3764285714285714,0.026464646464646465
205,2.946042756425722,433.3161979322092,135.0,2.7,0.4420952380952381,0.02727272727272727
206,5.0900499315001095,713.3723294025971,126.0,2.52,0.38502380952380955,0.025454545454545455
207,1.037203492243031,153.11319678400912,143.0,2.86,0.4840714285714286,0.028888888888888888
208,2.7711578860564465,404.16829935162593,126.0,2.52,0.4162380952380953,0.025454545454545455
209,5.703073206812926,760.093720709927,147.0,2.94,0.3762380952380952,0.029696969696969697
210,2.8010938875205333,430.1399601040059,139.0,2.78,0.4440952380952381,0.02808080808080808
211,6.544722971948889,996.7893632673567,125.0,2.5,0.416047619047619,0.025252525252525252
212,1.5830867127643726,231.2341252535445,133.0,2.66,0.3426666666666667,0.026868686868686868
213,1.5489337352604169,231.35083843529586,120.0,2.4,0.32233333333333336,0.024242424242424242
214,6.115706117925213,897.631608180181,120.0,2.4,0.3145238095238095,0.024242424242424242
215,0.24442337381448578,36.63390933816748,128.0,2.56,0.41166666666666674,0.02585858585858586
216,3.9804610900125144,651.2565981483583,155.0,3.1,0.35419841269841273,0.031313131313131314
217,5.60919653622461,917.8830384406629,136.0,2.72,0.36904761904761896,0.027474747474747475
218,3.0400923657635857,430.9086727640944,131.0,2.62,0.41152380952380957,0.026464646464646465
219,4.828653708853255,699.7824879997713,138.0,2.76,0.40676190476190477,0.027878787878787878
220,7.3377588347586045,1112.7894925533365,137.0,2.74,0.40033333333333326,0.027676767676767678
221,7.330793934995605,1065.9736354657018,112.0,2.24,0.3359047619047619,0.022626262626262626
222,7.636332882396681,1181.4146315556422,119.0,2.38,0.31921428571428573,0.02404040404040404
223,6.092395881438559,847.5359997138811,123.0,2.46,0.311952380952381,0.02484848484848485
224,5.82397674630274,990.1057244547517,128.0,2.56,0.4106666666666667,0.02585858585858586
225,6.807633328670011,1029.9881872563762,129.0,2.58,0.35447619047619044,0.026060606060606062
226,8.909337234102335,1172.9987035877655,127.0,2.54,0.38449999999999995,0.025656565656565655
227,9.819495711808651,1523.0775819429757,124.0,2.48,0.3811428571428571,0.025050505050505052
228,9.916813958638453,1573.0441432978826,141.0,2.82,0.4156666666666667,0.028484848484848484
229,2.001616487428117,327.3793730039728,116.0,2.32,0.4440952380952381,0.023434343434343436
230,4.260018501128852,672.2064319907487,107.0,2.14,0.28133333333333327,0.021616161616161617
231,1.459487359868671,213.10255795812486,141.0,2.82,0.3740476190476191,0.028484848484848484
232,7.264513596859155,1179.6036171791234,136.0,2.72,0.3777777777777777,0.027474747474747475
233,0.5182050193872629,71.20163580600718,119.0,2.38,0.30500000000000005,0.02404040404040404
234,9.014217096357628,1121.0665933055025,132.0,2.64,0.4219523809523809,0.02666666666666667
235,5.474249877531772,721.2609183790565,106.0,2.12,0.3143333333333333,0.021414141414141413
236,7.289630915371966,1273.9928485107973,139.0,2.78,0.4561428571428571,0.02808080808080808
237,5.809996341154116,835.0792907842788,123.0,2.46,0.3740952380952381,0.02484848484848485
238,9.448818505668857,1697.1328215518286,129.0,2.58,0.42671428571428566,0.026060606060606062
239,9.240230602644134,1341.835295182525,103.0,2.06,0.354,0.020808080808080807
240,1.6667000219892378,218.05312572659932,136.0,2.72,0.4113333333333333,0.027474747474747475
241,5.460207288918554,814.2391958462983,134.0,2.68,0.33850793650793654,0.02707070707070707
242,0.9778314230560653,152.77647972774173,139.0,2.78,0.3545952380952381,0.02808080808080808
243,7.774756428190172,1344.2044996299417,128.0,2.56,0.29640476190476195,0.02585858585858586
244,9.81530597807201,1552.375493496494,145.0,2.9,0.37242063492063493,0.029292929292929294
245,8.546869494625108,1279.2879651479589,142.0,2.84,0.43,0.028686868686868688
246,7.253866652998975,1037.886958176322,113.0,2.26,0.35033333333333333,0.02282828282828283
247,9.670185834074456,1356.5570639945954,110.0,2.2,0.3436666666666667,0.022222222222222223
248,3.0006358789878878,513.5869377724055,155.0,3.1,0.39212914862914855,0.031313131313131314
249,2.003717566854799,323.54206083698773,124.0,2.48,0.25651587301587303,0.025050505050505052
250,8.415051009028984,1153.3994224717012,131.0,2.62,0.3279047619047619,0.026464646464646465
251,2.0704912925734975,312.82772665410386,114.0,2.28,0.40433333333333343,0.02303030303030303
252,4.9640969485872235,825.9591505392812,140.0,2.8,0.3517857142857143,0.028282828282828285
253,6.9357188684414375,884.6531882932812,139.0,2.78,0.39173809523809516,0.02808080808080808
254,9.09986795630559,1472.427814248689,134.0,2.68,0.36595238095238103,0.02707070707070707
255,4.396974849757344,674.5077091132587,124.0,2.48,0.35333333333333333,0.025050505050505052
256,2.419537079962896,347.92549286471547,129.0,2.58,0.39966666666666667,0.026060606060606062
257,7.116358485924149,1033.5927417361158,122.0,2.44,0.42352380952380947,0.024646464646464646
